Player,Club,Age,Ball Winning Midfielder Score,Deep Lying Playmaker Score,Inverted Winger Score,Advanced Forward Score,Pressing Forward Score,Segundo Volante Score
Harry Maguire,Manchester United,30,72,65,45,35,40,68
Lisandro Martinez,Manchester United,25,85,72,48,32,42,82
Bruno Fernandes,Manchester United,29,68,75,72,80,70,55
Casemiro,Manchester United,31,88,80,52,38,45,90
Scott McTominay,Manchester United,27,76,70,55,45,55,74
Christian Pulisic,AC Milan,25,62,55,82,78,82,58
Fikayo Tomori,AC Milan,26,80,72,48,35,38,78
Davide Calabria,AC Milan,26,70,65,62,42,48,68
Ruben Loftus-Cheek,AC Milan,28,72,75,68,70,68,70
Mike Maignan,AC Milan,28,45,48,40,32,35,42
Trent Alexander-Arnold,Liverpool,25,65,70,88,75,72,62
Virgil van Dijk,Liverpool,32,82,78,52,40,45,85
Mohamed Salah,Liverpool,31,75,68,85,88,85,70
Luis Diaz,Liverpool,26,70,65,82,80,82,68
Arne Slot,Liverpool,25,68,72,75,72,70,65
Vinicius Jr,Real Madrid,23,72,65,90,85,88,70
Rodrygo Goes,Real Madrid,22,68,62,85,82,80,65
Eduardo Camavinga,Real Madrid,21,75,78,70,68,70,78
Aurelien Tchouameni,Real Madrid,23,82,80,58,50,55,85
Antonio Rudiger,Real Madrid,31,85,80,50,38,42,88
Pedri,Barcelona,21,70,82,75,78,72,68
Gavi,Barcelona,19,72,80,72,75,70,70
Robert Lewandowski,Barcelona,35,52,55,65,92,85,48
Ousmane Dembele,Barcelona,26,65,60,88,85,82,62
Jules Kounde,Barcelona,23,78,72,55,42,48,80
